tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount
"
                                        05/27/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
TRIP
","
                                        
                                            TripAdvisor, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/27/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
MAR
","
                                        
                                            Marriott International, Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        05/27/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
VAC
","
                                        
                                            Marriott Vacations Worldwide Corporation
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/26/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
NVDA
","
                                        
                                            NVIDIA Corporation
                                        
                                        
                                        
                                    ","$100,001 - $250,000"
"
                                        05/26/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
VAC
","
                                        
                                            Marriott Vacations Worldwide Corporation
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/21/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
GOOG
","
                                        
                                            Alphabet Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/20/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
PYPL
","
                                        
                                            PayPal Holdings, Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        05/20/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
FB
","
                                        
                                            Facebook, Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        05/11/2020
                                    ",06/01/2020,Wyden,Ron L,Sale (Full),"
UBER
","
                                        
                                            Uber Technologies, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/08/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
UBER
","
                                        
                                            Uber Technologies, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/01/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
AMZN
","
                                        
                                            Amazon.com, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/05/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
QSR
","
                                        
                                            Restaurant Brands International Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/05/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
MCD
","
                                        
                                            McDonald's Corporation
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/05/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
DPZ
","
                                        
                                            Domino's Pizza, Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        05/05/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
BYND
","
                                        
                                            Beyond Meat, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/07/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
STZ
","
                                        
                                            Constellation Brands, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/07/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
MTCH
","
                                        
                                            Match Group, Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        05/07/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
BLL
","
                                        
                                            Ball Corporation
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        05/07/2020
                                    ",06/01/2020,Wyden,Ron L,Purchase,"
BRY
","
                                        
                                            Berry Corporation
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/07/2020
                                    ",06/01/2020,Wyden,Ron L,Sale (Full),"
GE
","
                                        
                                            General Electric Company
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        05/28/2020
                                    ",06/01/2020,Carper,Thomas R,Purchase,"
XCAPX
","
                                        
                                            ACAP Strategic Fund
                                        
                                        
                                        
                                            

                                            
                                        
                                    ","$15,001 - $50,000"
"
                                        05/21/2020
                                    ",06/01/2020,Carper,Thomas R,Sale (Full),"
PRJAX
","
                                        
                                            PGIM Jennison Global Opportunities Fund-Class A
                                        
                                        
                                        
                                            

                                            
                                        
                                    ","$15,001 - $50,000"
